id,type,sub_type,start_date,end_date,listing_type,tom,building_age,total_floor_count,floor_no,room_count,size,address,furnished,heating_type,price,price_currency
6770,Konut,Daire,10/30/18,,1,120,11-15 arası,2,,3+1,120,Ankara/Keçiören/Adnan Menderes,,Kalorifer (Doğalgaz),250000,TRY
6771,Konut,Daire,11/17/18,1/16/19,2,60,0,4,4,1+1,45,Afyonkarahisar/Merkez/Erenler,,Kalorifer (Doğalgaz),650,TRY
6772,Konut,Daire,11/7/18,,2,112,6-10 arası,7,,3+1,130,Bursa/Nilüfer/23 Nisan,,Kalorifer (Doğalgaz),2000,TRY
6773,Konut,Daire,1/27/19,,1,31,0,4,3,3+1,120,İstanbul/Bağcılar/Merkez,,Kalorifer (Doğalgaz),325000,TRY
6774,Konut,Komple Bina,11/27/18,11/27/18,1,0,0,4,,+,1000,Bursa/Osmangazi/Demirtaş Barbaros,,Kalorifer (Doğalgaz),3700000,TRY
6775,Konut,Villa,10/16/18,12/16/18,1,61,0,3,Müstakil,4+2,,İzmir/Urla/Kalabak,,Kalorifer (Doğalgaz),880000,TRY
6776,Konut,Daire,12/1/18,12/31/18,1,30,0,10-20 arası,9,4+1,169,Ankara/Pursaklar/Saray Fatih,,Kalorifer (Doğalgaz),350000,TRY
6777,Konut,Daire,10/17/18,11/16/18,1,30,26-30 arası,6,1,3+1,,İstanbul/Kadıköy/Kozyatağı,,Kalorifer (Doğalgaz),600000,TRY
6778,Konut,Villa,11/7/18,11/7/18,1,0,0,3,,6+2,160,İzmir/Urla/Zeytinalanı,,Kalorifer (Doğalgaz),875000,TRY
6779,Konut,Daire,11/7/18,12/7/18,1,30,11-15 arası,10,5,2+1,110,İzmir/Karşıyaka/Yalı,,Kalorifer (Doğalgaz),645000,TRY
6780,Konut,Daire,11/13/18,12/23/18,1,40,11-15 arası,9,9,3+1,130,Adana/Çukurova/Güzelyalı,,Kalorifer (Doğalgaz),278000,TRY
6781,Konut,Daire,10/19/18,10/26/18,1,7,0,3,1,3+1,150,Sakarya/Serdivan/Kemalpaşa,,Kalorifer (Doğalgaz),350000,TRY
6782,Konut,Daire,12/27/18,1/18/19,1,22,5,2,,3+1,115,Ankara/Sincan/Pınarbaşı,,Kalorifer (Doğalgaz),210000,TRY
6783,Konut,Daire,10/3/18,12/6/18,1,64,0,6,6,2+1,,Samsun/Atakum/Yenimahalle,,Kalorifer (Doğalgaz),250000,TRY
6784,Konut,Villa,11/17/18,1/20/19,1,64,11-15 arası,3,,5+1,315,Kocaeli/Başiskele/Seymen,,Kalorifer (Doğalgaz),1500000,TRY
6785,Konut,Daire,12/17/18,,1,72,5,7,5,3+1,180,Mardin/Kızıltepe/Aşiti,,Kalorifer (Doğalgaz),120000,TRY
6786,Konut,Daire,1/15/19,1/17/19,1,2,0,3,,3+1,170,Aydın/Efeler/Ata,,Kalorifer (Doğalgaz),285000,TRY
6787,Konut,Daire,10/21/18,,1,129,0,6,2,3+1,130,Konya/Karatay/Akabe,,Kalorifer (Doğalgaz),269000,TRY
6788,Konut,Daire,11/17/18,,1,102,11-15 arası,10-20 arası,11,3+1,100,Kayseri/Kocasinan/Sahabiye,,Kalorifer (Doğalgaz),118000,TRY
6789,Konut,Daire,9/25/18,10/4/18,1,9,21-25 arası,5,3,2+1,90,İstanbul/Bağcılar/Çınar,,Kalorifer (Doğalgaz),187000,TRY
6790,Konut,Prefabrik Ev,11/6/18,1/5/19,1,60,,2,,4+1,130,Kayseri/Kocasinan/Fatih,,Kalorifer (Doğalgaz),123500,TRY
6791,Konut,Daire,11/10/18,1/9/19,2,60,21-25 arası,2,4,3+1,150,İstanbul/Bahçelievler/Şirinevler,,Kalorifer (Doğalgaz),2000,TRY
6792,Konut,Daire,11/23/18,,1,96,1,4,En Üst Kat,2+1,55,Denizli/Pamukkale/İncilipınar,,Kalorifer (Doğalgaz),125000,TRY
6793,Konut,Daire,10/16/18,11/28/18,2,43,11-15 arası,10,6,3+1,,Antalya/Muratpaşa/Fener,,Kalorifer (Doğalgaz),3500,TRY
6794,Konut,Daire,11/1/18,11/1/18,1,0,0,10-20 arası,11,2+1,110,Adana/Seyhan/Yeşilyurt,,Kalorifer (Doğalgaz),258000,TRY
6795,Konut,Daire,11/21/18,1/25/19,1,65,6-10 arası,8,Giriş Katı,2+1,95,Antalya/Muratpaşa/Çağlayan,,Kalorifer (Doğalgaz),320000,TRY
6796,Konut,Daire,12/27/18,2/14/19,1,49,31-35 arası,9,9,3+1,140,Ankara/Çankaya/Mutlukent,,Kalorifer (Doğalgaz),455000,TRY
6797,Konut,Daire,11/12/18,11/14/18,2,2,,,Bodrum Kat,2+1,115,Konya/Selçuklu/Sancak,,Kalorifer (Doğalgaz),450,TRY
6798,Konut,Daire,1/31/19,,1,27,6-10 arası,5,En Üst Kat,5+1,235,Tekirdağ/Süleymanpaşa/Hürriyet,,Kalorifer (Doğalgaz),550000,TRY
6799,Konut,Daire,10/21/18,,1,129,21-25 arası,6,2,3+1,110,Ankara/Etimesgut/Eryaman,,Kalorifer (Doğalgaz),312000,TRY
6800,Konut,Villa,11/6/18,12/17/18,1,41,0,3,,4+1,150,İzmir/Urla/M. Fevzi Çakmak,,Kalorifer (Doğalgaz),765000,TRY
6801,Konut,Daire,9/9/18,2/19/19,1,163,21-25 arası,5,4,2+1,105,Samsun/İlkadım/İstasyon,,Kalorifer (Doğalgaz),165000,TRY
6802,Konut,Komple Bina,12/24/18,,1,65,31-35 arası,4,,+,55,İstanbul/Fatih/Derviş Ali,,Kalorifer (Doğalgaz),300000,USD
6803,Konut,Daire,10/24/18,11/23/18,2,30,6-10 arası,7,4,4+1,170,Kahramanmaraş/Onikişubat/Yirmiikigün,,Kalorifer (Doğalgaz),1100,TRY
6804,Konut,Daire,11/10/18,11/17/18,1,7,,,,2+1,,İzmir/Foça/Mustafa Kemal Atatürk,,Kalorifer (Doğalgaz),315000,TRY
6805,Konut,Daire,11/6/18,,1,113,21-25 arası,4,Kot 4,3+1,110,Düzce/Merkez/Azmimilli,,Kalorifer (Doğalgaz),106000,TRY
6806,Konut,Komple Bina,10/26/18,,1,124,16-20 arası,3,,+,,Sakarya/Akyazı/Ömercikler,,Kalorifer (Doğalgaz),875000,TRY
6807,Konut,Daire,1/20/19,2/19/19,1,30,11-15 arası,9,8,3+2,230,Antalya/Muratpaşa/Şirinyalı,,Kalorifer (Doğalgaz),1650000,TRY
6808,Konut,Daire,10/15/18,,1,135,16-20 arası,10,10,3+1,,Sivas/Merkez/Yenişehir,,Kalorifer (Doğalgaz),194000,TRY
6809,Konut,Daire,1/28/19,2/27/19,1,30,31-35 arası,5,5,3+1,125,Edirne/Merkez/1.Murat,,Kalorifer (Doğalgaz),190000,TRY
6810,Konut,Daire,1/25/19,,1,33,6-10 arası,6,En Üst Kat,1+1,40,Gaziantep/Şahinbey/Güneykent,,Kalorifer (Doğalgaz),71900,TRY
6811,Konut,Daire,11/22/18,,1,97,21-25 arası,4,1,2+1,90,İstanbul/Avcılar/Gümüşpala,,Kalorifer (Doğalgaz),270000,TRY
